"","X","isocode","country","Confirmed","Deaths","tests","MaxStringencyIndex","MeanStringencyIndex","MaxFacialCoverings","MeanFacialCoverings","MaxStayHome","MeanStayHome","totalvaccinations","totalbooster","fullyvacnumber","logofConfirmed","logofDeaths","logofTests","logofTotalVaccines","logofTotalBoosters","logofFullyVaccinated"
"1",0,"AFG","Afghanistan",157445,7312,0,56.02,30.1323692307692,3,2.51226993865031,3,0.135384615384615,5228706,0,3566192,11.9668314699119,8.89727211313399,-Inf,15.46967438669,-Inf,15.0870089177954
"2",1,"ALB","Albania",201730,3110,81840662,63.89,49.1582515337423,4,3.04601226993865,2,2,2130714,78250,971974,12.2146854486284,8.04237800517328,18.220284768529,14.5719676927825,11.2676641084024,13.7870843341136
"3",2,"DZA","Algeria",211469,6103,0,85.19,59.8691867469879,3,3,2,1.78593272171254,12145830,25381,5380385,12.2618336946217,8.71653573254449,-Inf,16.3124964589643,10.1417561415954,15.4982704909159
"4",3,"AND","Andorra",18010,132,8830188,65.74,50.5709538461538,3,2.58409785932722,2,0.08,104534,0,49535,9.79868243817,4.88280192258637,15.9936868634067,11.557267656321,-Inf,10.8104347694071
"5",4,"AGO","Angola",65259,1735,0,65.74,56.6625153374233,4,2.9601226993865,2,1.06134969325153,9847459,0,3072475,11.0861192467078,7.45876269238096,-Inf,16.1027240103253,-Inf,14.9379939836927
"6",5,"ARG","Argentina",5340676,116646,5144722921,84.26,72.205,3,2.96540880503145,2,1.85849056603774,69891521,2490555,30265301,15.4908627946846,11.6668989862487,22.3612373507492,18.0624548979866,14.7280161351705,17.22551243274
"7",6,"ABW","Aruba",NA,NA,0,67.59,42.8272085889571,3,2.36503067484663,2,1.1319018404908,161913,0,78159,NA,NA,-Inf,11.9948144329214,-Inf,11.2665004923666
"8",7,"AUS","Australia",219121,2056,5366082762,78.24,61.7666666666667,4,2.82262996941896,2,1.02752293577982,39652404,536892,19008755,12.2973793676359,7.62851762657506,22.4033640122375,17.4956621347242,13.1935522359458,16.7604102204735
"9",8,"AUT","Austria",1198478,12796,17248306948,82.41,65.4870570570571,3,2.48929663608563,2,0.880733944954128,14457526,2341624,6051450,13.9965629764094,9.45688790106941,23.5709798276649,16.4867256673874,14.6663552637094,15.6158084707124
"10",9,"AZE","Azerbaijan",596388,7967,685653599,89.81,64.4420958083832,4,2.8960244648318,2,0.929663608562691,10702988,1011169,4593278,13.2986467409459,8.98306328938037,20.3458831004301,16.1860335127849,13.8266176452592,15.340104488365
"11",10,"BHS","Bahamas",22825,695,5063656,68.98,58.0119018404908,4,3.3680981595092,3,1.95398773006135,280176,0,138266,10.0356117054632,6.54391184556479,15.437599310009,12.5431732561117,-Inf,11.836934645057
"12",11,"BHR","Bahrain",277831,1394,1311759560,62.96,49.4636336336336,4,3.34504792332268,2,1.12232415902141,2982080,0,1162095,12.5347682941493,7.23993259132047,20.9946352484786,14.9081316015794,-Inf,13.965734968646
"13",12,"BGD","Bangladesh",1577443,28001,2240310051,93.52,74.3495833333333,4,3.79166666666667,3,2.10576923076923,102108505,0,37824243,14.2713157396227,10.2399955028053,21.5298801088598,18.4415465803512,-Inf,17.4484608042197
"14",13,"BRB","Barbados",26095,238,0,74.07,64.0639556962025,4,2.95253164556962,2,1.83544303797468,292080,0,138096,10.1694990040775,5.47227067367148,-Inf,12.5847830163295,-Inf,11.8357043744594
"15",14,"BLR","Belarus",663813,5162,695620893,43.52,36.2266149068323,3,2.32298136645963,1,0.708074534161491,6331049,0,2712219,13.4057557622884,8.54907938027856,20.3603153759335,15.6609764991899,-Inf,14.8132776769945
"16",15,"BEL","Belgium",1827467,27167,4995732505,75.93,53.7117717717718,3,2.85626911314985,2,1.03058103975535,19226776,2083019,8712921,14.4184414129875,10.2097582804242,22.3318498859429,16.7718144488032,14.5493288416609,15.9803176542608
"17",16,"BLZ","Belize",30680,579,7794269,73.15,63.8585625,4,3.259375,2,1.71875,412002,0,195230,10.3313662554812,6.361302477573,15.8688992780137,12.9287834826888,-Inf,12.1819336296768
"18",17,"BEN","Benin",24863,161,640586,55.56,39.7441741741742,4,3.63302752293578,1,0.345565749235474,383501,0,297726,10.1211360335684,5.08140436498446,13.370138661407,12.857097507348,-Inf,12.6039288794348
"19",18,"BMU","Bermuda",NA,NA,0,79.63,51.4521230769231,3,2.01538461538462,2,1.32307692307692,101341,5512,47365,NA,NA,-Inf,11.5262463467531,8.61468281269349,10.7656388383096
"20",19,"BTN","Bhutan",2641,3,176547092,81.94,61.366717791411,4,3.49693251533742,2,1.41717791411043,1153555,0,564340,7.87891291229713,1.09861228866811,18.9890982089484,13.9583590364302,-Inf,13.2434121857265
"21",20,"BOL","Bolivia",543390,19222,504632403,56.48,33.1184984984985,4,3.95439739413681,2,0.782334384858044,8691198,374712,4190248,13.2055825731551,9.86381073538323,20.0393408073295,15.9778213473486,12.8339130098895,15.2482704786909
"22",21,"BIH","Bosnia and Herzegovina",277228,12687,222357574,45.37,39.1321921921922,3,2.53211009174312,2,0.902140672782875,1553874,0,720641,12.5325955512977,9.4483331261406,19.2197973377544,14.2562617255414,-Inf,13.4878963727078
"23",22,"BWA","Botswana",195302,2419,115631491,73.15,53.1438650306748,4,2.89877300613497,2,1.69938650306748,1430084,0,508980,12.1823023574677,7.79110951061003,18.5659188905995,14.1732437417696,-Inf,13.1401640020298
"24",23,"BRA","Brazil",22143091,615636,9716857322,76.39,60.0851410658307,4,3.76175548589342,3,2.0564263322884,314612221,18014777,136905306,16.9130360870628,13.3304111587692,22.9971280823574,19.5668513939878,16.7067029235143,18.7348000477253
"25",24,"BRN","Brunei",15186,98,0,79.63,52.7952424242424,4,2.66666666666667,2,0.660550458715596,756080,0,351709,9.62812922977318,4.58496747867057,-Inf,13.5359024696689,-Inf,12.7705594081261
"26",25,"BGR","Bulgaria",703160,28852,597112256,62.96,47.5369538461538,4,2.87692307692308,1,0.0676923076923077,3400750,0,1802611,13.4633397409138,10.2699345936236,20.2076156871816,15.0395065534957,-Inf,14.4047467273825
"27",26,"BFA","Burkina Faso",16000,286,0,30.56,19.6057556270096,4,3.35197368421053,2,0.213166144200627,661796,0,297231,9.68034400122192,5.65599181081985,-Inf,13.4027126303293,-Inf,12.6022648932502
"28",27,"BDI","Burundi",20439,38,0,27.31,15.5152147239264,3,1.17791411042945,0,0,1711,0,914,9.92520011944178,3.63758615972639,-Inf,7.44483327389219,-Inf,6.81783057145415
"29",28,"KHM","Cambodia",120256,2960,64925980,73.15,64.3206603773585,4,3.05345911949686,3,1.77672955974843,28843614,2322719,13414877,11.6973780827731,7.99294454731811,17.9887584097388,17.1773991745967,14.6582490401654,16.411874872959
"30",29,"CMR","Cameroon",107148,1804,0,41.67,31.1868373493976,3,3,0,0,953375,0,595316,11.5819663353052,7.49776170062257,-Inf,13.7677635994665,-Inf,13.2968476359851
"31",30,"CAN","Canada",1815686,29821,11534983641,75.46,70.5966066066066,3,3,2,1.47706422018349,62032800,2117739,29099443,14.4119739157042,10.302968122297,23.1686503103657,17.9431738353792,14.5658595680884,17.1862295910651
"32",31,"CPV","Cape Verde",NA,NA,0,64.81,54.9300600600601,3,2.92354740061162,1,1,544075,0,246960,NA,NA,-Inf,13.2068423839823,-Inf,12.416981659176
"33",32,"CAF","Central African Republic",11742,101,0,27.78,15.4404347826087,3,1.84876543209877,2,0.767801857585139,422496,0,321982,9.37092743662413,4.61512051684126,-Inf,12.9539352582789,-Inf,12.6822509223429
"34",33,"TCD","Chad",5703,181,0,74.07,28.9690967741935,4,4,2,0.470967741935484,258618,0,72824,8.64874763115654,5.19849703126583,-Inf,12.463107348466,-Inf,11.1958008501851
"35",34,"CHL","Chile",1772547,38501,5278058590,84.72,68.9740419161677,3,2.64831804281346,3,2.28134556574924,41532402,8980522,16221873,14.3879280532569,10.5584394939645,22.3868241757617,17.5419844516421,16.0105685677649,16.6018710747074
"36",35,"CHN","China",111741,4849,0,79.17,73.4522435897436,4,2.47435897435897,3,2.54166666666667,2553028000,0,0,11.6239389723198,8.48652777710535,-Inf,21.6605459426348,-Inf,-Inf
"37",36,"COL","Colombia",5081064,128780,6202046774,81.02,62.5423100303951,4,2.53680981595092,3,2.36085626911315,58590490,0,25168977,15.4410312464422,11.7658608010922,22.548145199357,17.8860829546879,-Inf,17.0411227226622
"38",37,"COG","Congo",NA,NA,0,55.56,43.9193230769231,3,3,2,2,651411,0,129711,NA,NA,-Inf,13.3868960583872,-Inf,11.7730641778108
"39",38,"CRI","Costa Rica",567383,7312,388819633,66.67,57.7635409836066,3,3,1,1,7137983,35412,3215091,13.2487898396814,8.89727211313399,19.7786261256748,15.7809408014099,10.4748060247309,14.9833662200744
"40",39,"CIV","Cote d'Ivoire",61824,706,218174424,25.93,20.9078548895899,4,3.92744479495268,1,0.981072555205047,3845788,0,1176366,11.0320469175722,6.55961523749324,19.2008054109277,15.1624890814067,-Inf,13.9779405835102
"41",40,"HRV","Croatia",631037,11218,511306401,67.59,43.101021021021,4,2.87461773700306,1,0.0336391437308868,4245741,0,1979003,13.3551197768883,9.32527491006828,20.0524795790409,15.2614269207979,-Inf,14.4981037405007
"42",41,"CUB","Cuba",963090,8309,584281418,81.48,72.3079447852761,4,3.30153846153846,2,1.72085889570552,28623729,0,9280509,13.7779021443573,9.02509454366498,20.1858933048625,17.1697466171062,-Inf,16.0434269523962
"43",42,"CYP","Cyprus",136832,601,2624616420,84.26,57.6252852852853,4,2.90214067278287,2,1.13149847094801,1339063,128838,585087,11.8265091749447,6.39859493453521,21.6882005965983,14.1074806736038,11.7663110801952,13.2795158331053
"44",43,"CZE","Czechia",2240721,33665,0,81.48,51.7800303951368,4,2.70948012232416,2,0.553516819571865,13851362,1134875,6415104,14.6223082470406,10.4242140009794,-Inf,16.4438941251128,13.9420330706741,15.6741657679036
"45",44,"COD","Democratic Republic of Congo",NA,NA,0,52.78,38.1011111111111,3,3,2,1.82874617737003,193416,0,56167,NA,NA,-Inf,12.1725985886725,-Inf,10.9360846748069
"46",45,"DNK","Denmark",514609,2959,10217259118,70.37,49.54003003003,3,2.18042813455657,1,0.428134556574924,9911854,914751,4463547,13.1511626679889,7.99260665240021,23.0473441976905,16.109241972562,13.7264071760757,15.3114542993994
"47",46,"DJI","Djibouti",13508,187,0,54.63,45.0263580246914,4,3.45987654320988,0,0,104475,0,26087,9.51103738150546,5.23110861685459,-Inf,11.5567030873161,-Inf,10.1691923849344
"48",47,"DMA","Dominica",6120,39,0,79.63,44.4559561128527,4,2.40752351097179,2,1.32915360501567,55760,0,26852,8.71931737550637,3.66356164612965,-Inf,10.9288120454344,-Inf,10.1980955850586
"49",48,"DOM","Dominican Republic",408516,4212,188401519,70.37,63.1075454545455,4,3.38837920489297,2,1.86544342507645,13866766,1356217,5619966,12.9202863602018,8.34569287325387,19.0540859827067,16.4450055999993,14.1202097641776,15.5418361720295
"50",49,"ECU","Ecuador",526870,33250,431172513,76.85,63.6361561561562,3,2.90519877675841,3,1.15596330275229,25309620,439649,11501793,13.1747091177763,10.411810046084,19.8820188301655,17.0466951185801,12.993731960268,16.2580134942238
"51",50,"EGY","Egypt",363162,20727,0,65.74,49.6985256410256,4,3.99358974358974,1,0.477564102564103,40644158,0,15515855,12.802604294685,9.9391924771569,-Inf,17.520365668993,-Inf,16.5573729623063
"52",51,"SLV","El Salvador",119803,3783,83439357,47.22,33.653198757764,4,3.52173913043478,2,0.319875776397516,9241093,720514,4081545,11.6936040060862,8.23827262463303,18.239630662491,16.0391707266654,13.4877201251837,15.2219861511711
"53",52,"ERI","Eritrea",7458,61,0,92.59,67.5608108108108,3,2.71253822629969,2,1.48012232415902,NA,NA,NA,8.91704256073877,4.11087386417331,-Inf,NA,NA,NA
"54",53,"EST","Estonia",224993,1823,491108374,67.59,38.8080606060606,2,1.87155963302752,2,0.198776758409786,1487367,0,793696,12.3238245695915,7.50823877467866,20.0121753823811,14.2125180006397,-Inf,13.5844557953787
"55",54,"SWZ","Eswatini",47504,1248,0,75,62.1441104294478,4,3.97546012269939,2,1.82822085889571,306445,0,260763,10.7685691970035,7.12929754892937,-Inf,12.6327935729054,-Inf,12.4713672278043
"56",55,"ETH","Ethiopia",372215,6800,750408786,51.85,43.8112612612613,4,3.11009174311927,0,0,10058925,0,1452584,12.8272269232917,8.8246778911642,20.4361286640099,16.1239708580791,-Inf,14.1888545973613
"57",56,"FRO","Faeroe Islands",NA,NA,0,59.26,35.4982282282282,2,1.22324159021407,1,0.577981651376147,78347,0,38142,NA,NA,-Inf,11.2689029573255,-Inf,10.5490713161645
"58",57,"FJI","Fiji",52543,697,17196741,90.74,67.0327868852459,2,1.84294871794872,2,2,1237108,0,585788,10.8693871609623,6.54678541076052,16.6602304470865,14.0282869555667,-Inf,13.2807132283589
"59",58,"FIN","Finland",191226,1360,1755360835,52.31,44.2911711711712,2,1.42813455657492,1,0.929663608562691,8357278,0,4054134,12.1612112536182,7.2152399787301,21.2859402767192,15.9386433339562,-Inf,15.2152476592219
"60",59,"FRA","France",8020978,120516,0,75,62.1305120481928,4,3.25382262996942,2,1.03975535168196,107043866,8760595,47303279,15.8975709175452,11.6995378031813,-Inf,18.4887492710313,15.9857743829804,17.6720901745266
"61",60,"GAB","Gabon",37477,280,48242298,71.3,64.1036809815951,3,3,2,2,277979,0,111626,10.5314826904593,5.63478960316925,17.6917467460645,12.5353008502512,-Inf,11.6229092767053
"62",61,"GMB","Gambia",9992,342,5870327,45.37,36.058622754491,4,2.69724770642202,1,0.125382262996942,268008,0,222890,9.20954005180541,5.8348107370626,15.5854208972374,12.4987721097937,-Inf,12.3144336552002
"63",62,"GEO","Georgia",865293,12344,475893185,84.26,55.8301807228916,4,2.85932721712538,3,1.15290519877676,2238070,0,1018984,13.6708234568822,9.420925394043,19.9807039857535,14.6211244452916,-Inf,13.8343166104133
"64",63,"DEU","Germany",6200937,103124,2854120708,85.19,67.2096996996997,2,2,2,1.35474006116208,127656766,13914334,57383300,15.6402109676287,11.5436874266203,21.7720296494304,18.6648557045557,16.4484300897773,17.8652638781918
"65",64,"GHA","Ghana",130920,1209,280790023,50.93,42.5548456790123,4,4,1,0.477272727272727,3493688,0,842225,11.7823417286151,7.09754885061479,19.4531176988579,15.0664684697531,-Inf,13.6438024784299
"66",65,"GRC","Greece",966221,18595,3699475618,88.89,74.0322435897436,4,3.18910256410256,3,1.72115384615385,14788422,1696563,6663358,13.7811478654968,9.83064800635917,22.0314569216878,16.5093551352828,14.3441149977954,15.7121341196525
"67",66,"GRL","Greenland",NA,NA,0,55.56,39.5167278287462,2,2,1,0.232415902140673,77808,0,37537,NA,NA,-Inf,11.2619995326436,-Inf,10.5330823921896
"68",67,"GUM","Guam",NA,NA,NA,62.96,47.7686538461538,3,3,1,0.439102564102564,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",68,"GTM","Guatemala",619852,15986,287140734,66.2,52.5233333333333,4,3.5045871559633,2,0.256880733944954,10266743,0,4176059,13.3372360188482,9.67946861818596,19.4754830159049,16.144420394313,-Inf,15.2448785367973
"70",69,"GIN","Guinea",30770,387,0,71.3,58.3861861861862,4,3.06727828746177,2,2,2493842,0,813477,10.3342954683161,5.95842469302978,-Inf,14.7293350511704,-Inf,13.6090729323466
"71",70,"GUY","Guyana",38160,1006,0,71.3,60.2328792569659,4,3.22600619195046,2,2,682779,0,280637,10.5495431255622,6.91373735065968,-Inf,13.4339265137177,-Inf,12.5448172982571
"72",71,"HTI","Haiti",25510,747,0,64.81,48.0032132132132,3,3,2,1.92660550458716,184769,0,66888,10.1468258111359,6.61606518513282,-Inf,12.1268616752005,-Inf,11.1107748578299
"73",72,"HND","Honduras",378251,10412,0,89.81,77.1329787234042,4,3.14984709480122,3,1.51681957186544,7960942,0,0,12.8433132754012,9.25071426611446,-Inf,15.8900578925273,-Inf,-Inf
"74",73,"HKG","Hong Kong",NA,NA,207666928,71.3,66.5947692307692,2,2,1,1,9540544,0,4552531,NA,NA,19.1514460465098,16.0710610648595,-Inf,15.3311939000061
"75",74,"HUN","Hungary",1134869,35122,1391527061,79.63,48.324696969697,3,2.217125382263,2,1.09480122324159,0,2765500,5867068,13.9420277837342,10.4665829937358,21.0536675861001,-Inf,14.8327320084169,15.5848655780914
"76",75,"ISL","Iceland",18333,35,148616910,65.74,37.7385889570552,3,2.08895705521472,0,0,665013,153073,281402,9.81645799356303,3.55534806148941,18.8168824791977,13.4075618683191,11.93867021077,12.5475395309577
"77",76,"IND","India",34641561,473537,129530609663,81.94,67.1340361445783,4,4,3,2.53822629969419,1278763558,0,477346183,17.3605647041536,13.0679853300549,25.5871830582095,20.9691594777154,-Inf,19.9837525361472
"78",77,"IDN","Indonesia",4257685,143867,4835702971,71.76,68.7376576576577,4,3.8256880733945,2,1.83792048929664,241441928,0,99009581,15.2642361433054,11.8766445406555,22.2992923474239,19.3021395383727,-Inf,18.410727181194
"79",78,"IRN","Iran",6134465,130200,4059661925,81.48,74.6464,3,2.93230769230769,2,1.79692307692308,107531771,1287811,48149791,15.6294334277606,11.7768270087566,22.1243655373885,18.4932969060535,14.0684544357488,17.6898273555967
"80",79,"IRQ","Iraq",2084346,23885,3056527254,84.26,70.989475308642,4,3.71296296296296,2,1.83641975308642,12268675,0,4723137,14.5499656949459,10.0810059258241,21.8405452241281,16.322559823896,-Inf,15.3679837554446
"81",80,"IRL","Ireland",594250,5707,1832131819,87.96,60.9327844311377,3,3,2,0.788990825688073,8339577,913670,3798451,13.2950553852224,8.64944877053671,21.3287460542124,15.9365230536242,13.7252247349137,15.1501039100133
"82",81,"ISR","Israel",1345915,8204,6413767795,87.04,54.9082882882883,3,2.31192660550459,2,0.244648318042813,16254505,4100290,5782188,14.1125846371185,9.01237711919227,22.5817127347245,16.6038806590879,15.2265682608805,15.5702927157306
"83",82,"ITA","Italy",5109082,134195,22819214855,83.33,69.7143333333333,4,3.34862385321101,2,1.90214067278287,98729849,8682311,44154825,15.4465302982918,11.8070492450015,23.8508687747849,18.4078978801628,15.9767982954395,17.6032127655661
"84",83,"JAM","Jamaica",91469,2410,85439727,86.11,73.0741741741742,4,3.10703363914373,3,2.14373088685015,1135059,0,523049,11.4237553960445,7.7873820264847,18.2633217379463,13.9421951899255,-Inf,13.167430428907
"85",84,"JPN","Japan",1727229,18360,5094600901,55.09,49.0042642642643,1,1,1,1,197620701,0,97685248,14.3620289482224,9.81792966417448,22.3514471690516,19.1018600999366,-Inf,18.3972611127772
"86",85,"JOR","Jordan",975956,11761,1497659911,81.48,53.0727914110429,3,2.40184049079755,2,1.49079754601227,7950684,0,3776263,13.7911727824118,9.37254425185104,21.1271696675616,15.8887685206653,-Inf,15.1442454542458
"87",86,"KAZ","Kazakhstan",1058758,17895,1333645988,79.17,65.6731736526946,4,3.08868501529052,2,0.746177370030581,16955745,0,8176988,13.8726070810001,9.79227662320013,21.0111823729095,16.6461172724173,-Inf,15.9168344256122
"88",87,"KEN","Kenya",255437,5335,24131061,74.07,58.3448615384615,4,3.53538461538462,2,1.83384615384615,7583134,0,2954835,12.4507310828787,8.58204416373585,16.9990104067962,15.8414371286334,-Inf,14.8989533696999
"89",88,"KIR","Kiribati",2,0,0,56.94,27.7250306748466,3,0.368098159509202,2,0.613496932515337,82167,0,22675,0.693147180559945,-Inf,-Inf,11.3165090405837,-Inf,10.0290182749833
"90",89,"OWID_KOS","Kosovo",NA,NA,100295901,75.93,49.5058787878788,4,3.24770642201835,2,1.24159021406728,1624584,0,765669,NA,NA,18.4236353846993,14.3007623409724,-Inf,13.5485052404517
"91",90,"KWT","Kuwait",413491,2465,983138186,77.78,58.2639759036145,4,3.07033639143731,2,0.614678899082569,6578646,108687,3165385,12.9323910277918,7.80994708647679,20.70626024402,15.6993395070509,11.596227470741,14.9677852491325
"92",91,"KGZ","Kyrgyzstan",183615,2758,0,58.33,49.4215337423313,3,2.5398773006135,1,0.00920245398773006,2056269,0,914026,12.1205964531777,7.92226105835325,-Inf,14.5364037335747,-Inf,13.7256142964212
