isocode,country,totalvaccinations,totalbooster,fullyvacnumber
OWID_ASI,Asia,5574248072,102963021,2342151952
BRN,Brunei,756080,0,351709
PNG,Papua New Guinea,467166,0,197800
SVN,Slovenia,2714211,321652,1157918
CHN,China,2553028000,0,1276514000
AZE,Azerbaijan,10702988,1011169,4593278
NER,Niger,971636,0,464413
OWID_UMC,Upper middle income,3837874230,117228001,1679208853
CYP,Cyprus,1339063,128838,585087
EGY,Egypt,40644158,0,15515855
DZA,Algeria,12145830,25381,5380385
COG,Congo,651411,0,129711
IND,India,1278763558,0,477346183
OWID_LIC,Low income,56795758,0,20773662
KIR,Kiribati,82167,0,22675
LSO,Lesotho,617671,0,572287
OWID_ENG,England,98942857,17020419,39025116
TCD,Chad,258618,0,72824
NGA,Nigeria,10119982,0,3595400
TWN,Taiwan,32471621,0,14169298
TUN,Tunisia,10731223,469349,5247095
HUN,Hungary,11734136,2765500,5867068
GUY,Guyana,682779,0,280637
MEX,Mexico,134370326,0,65422436
BTN,Bhutan,1153555,0,564340
GAB,Gabon,277979,0,111626
ZAF,South Africa,26348830,0,14948436
SYC,Seychelles,179462,0,77951
ATG,Antigua and Barbuda,117637,0,56219
CPV,Cape Verde,544075,0,246960
CHE,Switzerland,12045452,642345,5716809
JEY,Jersey,187228,0,75335
LBR,Liberia,589628,0,456623
MCO,Monaco,49980,0,23308
LCA,Saint Lucia,102072,0,47268
BES,Bonaire Sint Eustatius and Saba,35845,0,16736
OWID_LMC,Lower middle income,2461309014,5713209,966611478
SYR,Syria,1422377,0,739210
GIN,Guinea,2493842,0,813477
IRQ,Iraq,12268675,0,4723137
GTM,Guatemala,10266743,0,4176059
CAN,Canada,62032800,2117739,29099443
HRV,Croatia,4245741,0,1979003
ALB,Albania,2130714,78250,971974
ARE,United Arab Emirates,21548528,2914743,8832256
BGR,Bulgaria,3400750,0,1802611
NPL,Nepal,18317508,0,8437860
VGB,British Virgin Islands,34992,0,16704
MUS,Mauritius,1875132,0,914936
GNB,Guinea-Bissau,368395,0,19078
MDA,Moldova,1644452,0,944930
BRB,Barbados,292080,0,138096
CRI,Costa Rica,7137983,35412,3215091
UKR,Ukraine,25559141,0,11826757
SLE,Sierra Leone,868726,0,361089
FRO,Faeroe Islands,78347,0,38142
KEN,Kenya,7583134,0,2954835
GEO,Georgia,2238070,0,1018984
SMR,San Marino,47834,0,22379
ETH,Ethiopia,10058925,0,1452584
DNK,Denmark,9911854,914751,4463547
FLK,Falkland Islands,4407,0,1775
GHA,Ghana,3493688,0,842225
BOL,Bolivia,8691198,374712,4190248
WSM,Samoa,248729,0,108864
PYF,French Polynesia,318790,0,155959
MDG,Madagascar,685440,0,484570
GMB,Gambia,268008,0,222890
CHL,Chile,41532402,8980522,16221873
YEM,Yemen,774953,0,361351
CYM,Cayman Islands,125717,0,56187
KHM,Cambodia,28843614,2322719,13414877
LUX,Luxembourg,859410,0,429705
ZMB,Zambia,1134766,0,731770
GGY,Guernsey,104131,0,0
NIU,Niue,2352,0,1150
COK,Cook Islands,24326,0,11726
COL,Colombia,58590490,0,25168977
GRD,Grenada,75154,0,34593
MRT,Mauritania,1759659,0,684075
SXM,Sint Maarten (Dutch part),51856,0,24921
SRB,Serbia,7963609,1554127,3136806
VNM,Vietnam,126846771,0,53691472
MYS,Malaysia,53875223,2798233,25420679
NZL,New Zealand,7736783,121522,3688689
QAT,Qatar,5011447,0,0
COM,Comoros,523256,0,241310
CZE,Czechia,13851362,1134875,6415104
AIA,Anguilla,19914,663,9213
BLZ,Belize,412002,0,195230
OWID_WLS,Wales,5673108,935041,2267834
IRN,Iran,107531771,1287811,48149791
NAM,Namibia,674589,0,307891
MNG,Mongolia,4414941,0,2153408
UZB,Uzbekistan,34182226,0,0
BRA,Brazil,314612221,18014777,136905306
MLT,Malta,971433,132189,432844
LIE,Liechtenstein,51795,1677,25165
SLV,El Salvador,9241093,720514,4081545
GNQ,Equatorial Guinea,446624,0,198691
OWID_HIC,High income,1854390178,149093928,829786982
POL,Poland,42672883,3637272,20521241
PHL,Philippines,91777433,509944,38168603
SDN,Sudan,1659666,0,0
TCA,Turks and Caicos Islands,56343,0,27133
JPN,Japan,197620701,0,97685248
PSE,Palestine,3024477,0,1365858
GIB,Gibraltar,100396,19554,39840
BGD,Bangladesh,102108505,0,37824243
OWID_KOS,Kosovo,1624584,0,765669
NCL,New Caledonia,350362,0,169288
ECU,Ecuador,25309620,439649,11501793
FJI,Fiji,1237108,0,585788
EST,Estonia,1487367,0,793696
HND,Honduras,7960942,0,0
SVK,Slovakia,5001505,0,2349722
FRA,France,107043866,8760595,47303279
SWE,Sweden,16097826,1131706,7179328
BHS,Bahamas,280176,0,138266
AUS,Australia,39652404,536892,19008755
KGZ,Kyrgyzstan,2056269,0,914026
KWT,Kuwait,6578646,108687,3165385
ARM,Armenia,1236264,0,436861
TUV,Tuvalu,12114,0,5884
JAM,Jamaica,1135059,0,523049
MLI,Mali,847067,0,320681
IMN,Isle of Man,133195,0,64841
STP,Sao Tome and Principe,121357,0,38074
THA,Thailand,93753156,3494673,41732668
UGA,Uganda,4751422,0,912983
DOM,Dominican Republic,13866766,1356217,5619966
BLR,Belarus,6331049,0,2712219
RWA,Rwanda,9440343,0,3452598
MAC,Macao,930802,0,442605
BEN,Benin,383501,0,297726
IRL,Ireland,8339577,913670,3798451
NRU,Nauru,14863,0,7251
SGP,Singapore,10083329,0,5012181
TON,Tonga,118185,0,45002
GRC,Greece,14788422,1696563,6663358
BWA,Botswana,1430084,0,508980
TJK,Tajikistan,5579193,0,2555173
IDN,Indonesia,241441928,0,99009581
RUS,Russia,130634456,4937582,58695024
ESP,Spain,77157350,5499256,37655150
KAZ,Kazakhstan,16955745,0,8176988
AUT,Austria,14457526,2341624,6051450
SEN,Senegal,1910830,0,924182
BHR,Bahrain,2982080,0,1162095
CIV,Cote d'Ivoire,3845788,0,1176366
MAR,Morocco,48851348,0,22764566
MOZ,Mozambique,10503956,0,3931200
MMR,Myanmar,28100411,0,11615096
OWID_OCE,Oceania,50616946,658414,24102404
TZA,Tanzania,1337045,0,983801
OWID_AFR,Africa,247357382,494730,103010789
CMR,Cameroon,953375,0,595316
PER,Peru,42111301,992007,18576645
NLD,Netherlands,24693092,0,0
MNE,Montenegro,536689,0,259469
SOM,Somalia,964433,0,564612
SLB,Solomon Islands,208046,0,46525
GRL,Greenland,77808,0,37537
DMA,Dominica,55760,0,26852
TKL,Tokelau,1936,0,968
ITA,Italy,98729849,8682311,44154825
BMU,Bermuda,101341,5512,47365
SHN,Saint Helena,7892,0,3531
OWID_EUR,Europe,976196027,84438567,439537728
TGO,Togo,1665087,0,567834
BIH,Bosnia and Herzegovina,1553874,0,720641
SWZ,Eswatini,306445,0,260763
FIN,Finland,8357278,0,4054134
JOR,Jordan,7950684,0,3776263
MDV,Maldives,775843,15416,364520
OWID_NIR,Northern Ireland,3094393,443222,1276190
ABW,Aruba,161913,0,78159
AFG,Afghanistan,5228706,0,3566192
ZWE,Zimbabwe,6759589,0,2884043
PRY,Paraguay,6216388,117151,2703605
WLF,Wallis and Futuna,11939,0,5923
LVA,Latvia,2220155,0,1207491
MKD,North Macedonia,1675793,63137,789905
KNA,Saint Kitts and Nevis,52924,0,24997
OWID_NAM,North America,760753065,50657320,329052508
TTO,Trinidad and Tobago,1297311,0,648391
CUW,Curacao,198653,0,95517
NOR,Norway,8799704,703289,3850609
GBR,United Kingdom,117880359,20258417,46527302
USA,United States,470297846,46219529,197440859
OWID_SCT,Scotland,10170001,1859735,3958162
VCT,Saint Vincent and the Grenadines,55950,0,23388
AND,Andorra,104534,0,49535
AGO,Angola,9847459,0,3072475
KOR,South Korea,86476510,3956401,41341888
TUR,Turkey,120910438,13884811,50653666
DJI,Djibouti,104475,0,26087
CUB,Cuba,28623729,0,9280509
BEL,Belgium,19226776,2083019,8712921
BFA,Burkina Faso,661796,0,297231
SAU,Saudi Arabia,47701071,0,22620922
VEN,Venezuela,26314390,0,9858581
OWID_CYN,Northern Cyprus,617389,80243,275988
LBN,Lebanon,3660210,0,1710771
LTU,Lithuania,3770993,356740,1790996
ROU,Romania,15095967,0,7507203
BDI,Burundi,1711,0,914
DEU,Germany,127656766,13914334,57383300
NIC,Nicaragua,6376188,0,2322298
PRT,Portugal,17862361,1530075,9005089
PCN,Pitcairn,94,0,47
TKM,Turkmenistan,7580976,0,3206282
ISR,Israel,16254505,4100290,5782188
VUT,Vanuatu,129582,0,40110
ISL,Iceland,665013,153073,281402
LAO,Laos,5830021,0,3099003
HKG,Hong Kong,9540544,0,4552531
CAF,Central African Republic,422496,0,321982
ARG,Argentina,69891521,2490555,30265301
LBY,Libya,2377003,0,666531
COD,Democratic Republic of Congo,193416,0,56167
HTI,Haiti,184769,0,66888
OMN,Oman,5934585,0,2828176
OWID_WRL,World,8210433733,272035138,3496411602
OWID_SAM,South America,601262241,32823086,258556221
OWID_EUN,European Union,656293698,56027116,301986049
URY,Uruguay,6825827,1413713,2660281
SUR,Suriname,479697,0,221199
TLS,Timor,1112223,0,465372
SSD,South Sudan,218154,0,133315
PAN,Panama,5650424,201734,2437285
LKA,Sri Lanka,29707010,0,13763844
PAK,Pakistan,126586512,0,52303524
MWI,Malawi,1476957,0,617998
MSR,Montserrat,2949,0,1417